Section,Title,Preconditions,Steps,Expected Result,Priority,Type,References
HU-05,"TC-SIXP-013 - Validar si un proyectil del jugador impacta a un enemigo, el enemigo desaparece y aumenta el puntaje.",Juego Space Invaders abierto y ambiente Java configurado.,"Dado que existen proyectiles y enemigos en pantalla | Cuando ocurre una colisión válida | Entonces el sistema actualiza entidad, puntaje o vidas según corresponda.","Si un proyectil del jugador impacta a un enemigo, el enemigo desaparece y aumenta el puntaje.",Alta,Aceptación,HU-05 SIXP-5 CA-01
HU-05,"TC-SIXP-014 - Validar si un proyectil enemigo impacta al jugador, se reduce una vida.",Juego Space Invaders abierto y ambiente Java configurado.,"Dado que existen proyectiles y enemigos en pantalla | Cuando ocurre una colisión válida | Entonces el sistema actualiza entidad, puntaje o vidas según corresponda.","Si un proyectil enemigo impacta al jugador, se reduce una vida.",Alta,Integración,HU-05 SIXP-5 CA-02
HU-05,"TC-SIXP-015 - Validar si el jugador pierde todas las vidas, se muestra fin de juego.",Juego Space Invaders abierto y ambiente Java configurado.,"Dado que existen proyectiles y enemigos en pantalla | Cuando ocurre una colisión válida | Entonces el sistema actualiza entidad, puntaje o vidas según corresponda.","Si el jugador pierde todas las vidas, se muestra fin de juego.",Alta,Aceptación,HU-05 SIXP-5 CA-03
HU-06,TC-SIXP-016 - Validar las barreras aparecen al iniciar el juego.,Juego Space Invaders abierto y ambiente Java configurado.,Dado que la partida está activa | Cuando un proyectil impacta una barrera | Entonces el sistema aplica la regla de daño y evita que el proyectil continúe.,Las barreras aparecen al iniciar el juego.,Media,Aceptación,HU-06 SIXP-6 CA-01
HU-06,TC-SIXP-017 - Validar los proyectiles pueden impactar contra la barrera.,Juego Space Invaders abierto y ambiente Java configurado.,Dado que la partida está activa | Cuando un proyectil impacta una barrera | Entonces el sistema aplica la regla de daño y evita que el proyectil continúe.,Los proyectiles pueden impactar contra la barrera.,Media,Integración,HU-06 SIXP-6 CA-02
HU-06,TC-SIXP-018 - Validar la barrera reduce daño o desaparece según la regla definida.,Juego Space Invaders abierto y ambiente Java configurado.,Dado que la partida está activa | Cuando un proyectil impacta una barrera | Entonces el sistema aplica la regla de daño y evita que el proyectil continúe.,La barrera reduce daño o desaparece según la regla definida.,Media,Aceptación,HU-06 SIXP-6 CA-03
HU-07,"TC-SIXP-019 - Validar al activar pausa, el temporizador del juego se detiene.",Juego Space Invaders abierto y ambiente Java configurado.,Dado que una partida está en ejecución | Cuando el jugador activa la pausa | Entonces el sistema detiene el movimiento y muestra opciones de pausa.,"Al activar pausa, el temporizador del juego se detiene.",Media,Aceptación,HU-07 SIXP-7 CA-01
HU-07,TC-SIXP-020 - Validar la ventana de pausa permite reanudar o salir.,Juego Space Invaders abierto y ambiente Java configurado.,Dado que una partida está en ejecución | Cuando el jugador activa la pausa | Entonces el sistema detiene el movimiento y muestra opciones de pausa.,La ventana de pausa permite reanudar o salir.,Media,Integración,HU-07 SIXP-7 CA-02
HU-07,"TC-SIXP-021 - Validar al reanudar, el juego continúa desde el mismo estado.",Juego Space Invaders abierto y ambiente Java configurado.,Dado que una partida está en ejecución | Cuando el jugador activa la pausa | Entonces el sistema detiene el movimiento y muestra opciones de pausa.,"Al reanudar, el juego continúa desde el mismo estado.",Media,Aceptación,HU-07 SIXP-7 CA-03
HU-08,TC-SIXP-022 - Validar el sistema guarda el estado relevante de la partida.,Juego Space Invaders abierto y ambiente Java configurado.,Dado que existe una partida guardada | Cuando el jugador selecciona cargar partida | Entonces el sistema restaura el estado de juego sin cerrar la aplicación.,El sistema guarda el estado relevante de la partida.,Media,Aceptación,HU-08 SIXP-8 CA-01
HU-08,TC-SIXP-023 - Validar el sistema permite cargar una partida existente.,Juego Space Invaders abierto y ambiente Java configurado.,Dado que existe una partida guardada | Cuando el jugador selecciona cargar partida | Entonces el sistema restaura el estado de juego sin cerrar la aplicación.,El sistema permite cargar una partida existente.,Media,Integración,HU-08 SIXP-8 CA-02
HU-08,"TC-SIXP-024 - Validar si no existe una partida guardada, se muestra un mensaje controlado.",Juego Space Invaders abierto y ambiente Java configurado.,Dado que existe una partida guardada | Cuando el jugador selecciona cargar partida | Entonces el sistema restaura el estado de juego sin cerrar la aplicación.,"Si no existe una partida guardada, se muestra un mensaje controlado.",Media,Aceptación,HU-08 SIXP-8 CA-03
HU-09,TC-SIXP-025 - Validar el menú permite abrir la ventana de puntuaciones.,Juego Space Invaders abierto y ambiente Java configurado.,Dado que el jugador está en el menú | Cuando selecciona Puntuaciones | Entonces el sistema muestra el ranking ordenado de mejores puntajes.,El menú permite abrir la ventana de puntuaciones.,Media,Aceptación,HU-09 SIXP-9 CA-01
HU-09,TC-SIXP-026 - Validar el ranking muestra nombre y puntaje de jugadores.,Juego Space Invaders abierto y ambiente Java configurado.,Dado que el jugador está en el menú | Cuando selecciona Puntuaciones | Entonces el sistema muestra el ranking ordenado de mejores puntajes.,El ranking muestra nombre y puntaje de jugadores.,Media,Integración,HU-09 SIXP-9 CA-02
HU-09,TC-SIXP-027 - Validar las puntuaciones se ordenan de mayor a menor.,Juego Space Invaders abierto y ambiente Java configurado.,Dado que el jugador está en el menú | Cuando selecciona Puntuaciones | Entonces el sistema muestra el ranking ordenado de mejores puntajes.,Las puntuaciones se ordenan de mayor a menor.,Media,Aceptación,HU-09 SIXP-9 CA-03
HU-10,TC-SIXP-028 - Validar el menú reproduce música de ambiente.,Juego Space Invaders abierto y ambiente Java configurado.,"Dado que el juego ejecuta una acción sonora | Cuando ocurre disparo, explosión o fin de juego | Entonces el sistema reproduce el efecto correspondiente sin detener la partida.",El menú reproduce música de ambiente.,Baja,Aceptación,HU-10 SIXP-10 CA-01
HU-10,TC-SIXP-029 - Validar el disparo y las explosiones reproducen efectos.,Juego Space Invaders abierto y ambiente Java configurado.,"Dado que el juego ejecuta una acción sonora | Cuando ocurre disparo, explosión o fin de juego | Entonces el sistema reproduce el efecto correspondiente sin detener la partida.",El disparo y las explosiones reproducen efectos.,Baja,Integración,HU-10 SIXP-10 CA-02
HU-10,TC-SIXP-030 - Validar el sonido no bloquea la ejecución del juego.,Juego Space Invaders abierto y ambiente Java configurado.,"Dado que el juego ejecuta una acción sonora | Cuando ocurre disparo, explosión o fin de juego | Entonces el sistema reproduce el efecto correspondiente sin detener la partida.",El sonido no bloquea la ejecución del juego.,Baja,Aceptación,HU-10 SIXP-10 CA-03
HU-11,TC-SIXP-031 - Validar los enemigos pueden generar modificadores bajo una regla definida.,Juego Space Invaders abierto y ambiente Java configurado.,Dado que un modificador aparece en pantalla | Cuando la nave del jugador lo recoge | Entonces el sistema aplica el efecto correspondiente a la nave.,Los enemigos pueden generar modificadores bajo una regla definida.,Media,Aceptación,HU-11 SIXP-11 CA-01
HU-11,"TC-SIXP-032 - Validar al tomar un modificador, se aplica su efecto a la nave.",Juego Space Invaders abierto y ambiente Java configurado.,Dado que un modificador aparece en pantalla | Cuando la nave del jugador lo recoge | Entonces el sistema aplica el efecto correspondiente a la nave.,"Al tomar un modificador, se aplica su efecto a la nave.",Media,Integración,HU-11 SIXP-11 CA-02
HU-11,TC-SIXP-033 - Validar los efectos respetan duración o condición definida.,Juego Space Invaders abierto y ambiente Java configurado.,Dado que un modificador aparece en pantalla | Cuando la nave del jugador lo recoge | Entonces el sistema aplica el efecto correspondiente a la nave.,Los efectos respetan duración o condición definida.,Media,Aceptación,HU-11 SIXP-11 CA-03
HU-12,TC-SIXP-034 - Validar el sistema detecta condición de derrota o fin de partida.,Juego Space Invaders abierto y ambiente Java configurado.,Dado que el jugador pierde todas sus vidas | Cuando se cumple la condición de fin de juego | Entonces el sistema muestra la ventana final con puntaje y opciones de salida.,El sistema detecta condición de derrota o fin de partida.,Alta,Aceptación,HU-12 SIXP-12 CA-01
HU-12,TC-SIXP-035 - Validar la ventana de fin de juego muestra puntaje final.,Juego Space Invaders abierto y ambiente Java configurado.,Dado que el jugador pierde todas sus vidas | Cuando se cumple la condición de fin de juego | Entonces el sistema muestra la ventana final con puntaje y opciones de salida.,La ventana de fin de juego muestra puntaje final.,Alta,Integración,HU-12 SIXP-12 CA-02
HU-12,TC-SIXP-036 - Validar el jugador puede regresar al menú o reiniciar según la opción disponible.,Juego Space Invaders abierto y ambiente Java configurado.,Dado que el jugador pierde todas sus vidas | Cuando se cumple la condición de fin de juego | Entonces el sistema muestra la ventana final con puntaje y opciones de salida.,El jugador puede regresar al menú o reiniciar según la opción disponible.,Alta,Aceptación,HU-12 SIXP-12 CA-03
