HU,Jira,Criterio,Gherkin,TestCase,TestRail,ResponsableDev,Tester
HU-06,SIXP-6,CA-03,"Dado que la partida está activa
Cuando un proyectil impacta una barrera
Entonces el sistema aplica la regla de daño y evita que el proyectil continúe.",TC-SIXP-018,C118,Kevin,Diego
HU-07,SIXP-7,CA-01,"Dado que una partida está en ejecución
Cuando el jugador activa la pausa
Entonces el sistema detiene el movimiento y muestra opciones de pausa.",TC-SIXP-019,C119,David,Diego
HU-07,SIXP-7,CA-02,"Dado que una partida está en ejecución
Cuando el jugador activa la pausa
Entonces el sistema detiene el movimiento y muestra opciones de pausa.",TC-SIXP-020,C120,David,Diego
HU-07,SIXP-7,CA-03,"Dado que una partida está en ejecución
Cuando el jugador activa la pausa
Entonces el sistema detiene el movimiento y muestra opciones de pausa.",TC-SIXP-021,C121,David,Diego
HU-08,SIXP-8,CA-01,"Dado que existe una partida guardada
Cuando el jugador selecciona cargar partida
Entonces el sistema restaura el estado de juego sin cerrar la aplicación.",TC-SIXP-022,C122,Kevin,Diego
HU-08,SIXP-8,CA-02,"Dado que existe una partida guardada
Cuando el jugador selecciona cargar partida
Entonces el sistema restaura el estado de juego sin cerrar la aplicación.",TC-SIXP-023,C123,Kevin,Diego
HU-08,SIXP-8,CA-03,"Dado que existe una partida guardada
Cuando el jugador selecciona cargar partida
Entonces el sistema restaura el estado de juego sin cerrar la aplicación.",TC-SIXP-024,C124,Kevin,Diego
HU-09,SIXP-9,CA-01,"Dado que el jugador está en el menú
Cuando selecciona Puntuaciones
Entonces el sistema muestra el ranking ordenado de mejores puntajes.",TC-SIXP-025,C125,David,Diego
HU-09,SIXP-9,CA-02,"Dado que el jugador está en el menú
Cuando selecciona Puntuaciones
Entonces el sistema muestra el ranking ordenado de mejores puntajes.",TC-SIXP-026,C126,David,Diego
HU-09,SIXP-9,CA-03,"Dado que el jugador está en el menú
Cuando selecciona Puntuaciones
Entonces el sistema muestra el ranking ordenado de mejores puntajes.",TC-SIXP-027,C127,David,Diego
HU-10,SIXP-10,CA-01,"Dado que el juego ejecuta una acción sonora
Cuando ocurre disparo, explosión o fin de juego
Entonces el sistema reproduce el efecto correspondiente sin detener la partida.",TC-SIXP-028,C128,David,Diego
HU-10,SIXP-10,CA-02,"Dado que el juego ejecuta una acción sonora
Cuando ocurre disparo, explosión o fin de juego
Entonces el sistema reproduce el efecto correspondiente sin detener la partida.",TC-SIXP-029,C129,David,Diego
HU-10,SIXP-10,CA-03,"Dado que el juego ejecuta una acción sonora
Cuando ocurre disparo, explosión o fin de juego
Entonces el sistema reproduce el efecto correspondiente sin detener la partida.",TC-SIXP-030,C130,David,Diego
HU-11,SIXP-11,CA-01,"Dado que un modificador aparece en pantalla
Cuando la nave del jugador lo recoge
Entonces el sistema aplica el efecto correspondiente a la nave.",TC-SIXP-031,C131,Kevin,Diego
HU-11,SIXP-11,CA-02,"Dado que un modificador aparece en pantalla
Cuando la nave del jugador lo recoge
Entonces el sistema aplica el efecto correspondiente a la nave.",TC-SIXP-032,C132,Kevin,Diego
HU-11,SIXP-11,CA-03,"Dado que un modificador aparece en pantalla
Cuando la nave del jugador lo recoge
Entonces el sistema aplica el efecto correspondiente a la nave.",TC-SIXP-033,C133,Kevin,Diego
HU-12,SIXP-12,CA-01,"Dado que el jugador pierde todas sus vidas
Cuando se cumple la condición de fin de juego
Entonces el sistema muestra la ventana final con puntaje y opciones de salida.",TC-SIXP-034,C134,David,Diego
HU-12,SIXP-12,CA-02,"Dado que el jugador pierde todas sus vidas
Cuando se cumple la condición de fin de juego
Entonces el sistema muestra la ventana final con puntaje y opciones de salida.",TC-SIXP-035,C135,David,Diego
HU-12,SIXP-12,CA-03,"Dado que el jugador pierde todas sus vidas
Cuando se cumple la condición de fin de juego
Entonces el sistema muestra la ventana final con puntaje y opciones de salida.",TC-SIXP-036,C136,David,Diego
